연도,시도,65-69세,70-74세,75-79세,80-84세,85세이상,region,광역지자체,기초지자체,교육인원,행정구역,2025년07월_전체,2025년07월_남자,2025년07월_여자,2025년07월_65세이상전체,2025년07월_65세이상남자,2025년07월_65세이상여자,구분,Unnamed: 1,기관수,프로그램수,학습자수,교강사수,사무직원수
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,포천시,444.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,하남시,793.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,화성시,1777.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,이동형 교육,1621.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,가평군,729.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,고양시,1540.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,과천시,236.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,광명시,2770.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,광주시,322.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2023.0,경기 Gyeonggi,24000.5,83067.0,69006.0,58256.0,42128.0,경기도,경기도,구리시,72.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
